Sample,Seq,PutGeno,GenoRep,Reps
s001,wgs,15-353,15-353,no
s002,wgs,OF100,OF100,no
s003,wgs,GB17,GB17,no
s004,wgs,F32,F32,no
s005,wgs,GB1,GB1_wgs_1,yes
s006,wgs,GB16,GB16,no
s007,wgs,GB9,GB9,no
s008,wgs,M2-AE23,M2-AE23,no
s009,wgs,OF689,OF689,no
s010,wgs,OF75,OF75,no
s011,wgs,M8,M8,no
s012,wgs,GB19,GB19,no
s013,wgs,M6,M6,no
s014,wgs,GB30,GB30,no
s015,wgs,S509,S509,no
s016,wgs,OF656,OF656,no
s017,wgs,OF758,OF758,no
s018,wgs,OF1,OF1,no
s019,wgs,S31,S31,no
s020,wgs,15-71,15-71,no
s021,wgs,OF232,OF232,no
s022,wgs,OF434,OF434,no
s023,wgs,OF22,OF22,no
s024,wgs,15-350,15-350,no
s025,wgs,OF701,OF701,no
s026,wgs,OF684,OF684,no
s027,wgs,OF5,OF5,no
s028,wgs,OF793,OF793,no
s029,wgs,15-358,15-358,no
s030,wgs,OF592,OF687,no
s031,wgs,15-431,15-431,no
s032,wgs,OF566,OF662,no
s033,wgs,OF569,OF677,no
s034,wgs,OF32,OF32,no
s035,wgs,OF745,OF745,no
s036,wgs,GB29,GB29,no
s037,wgs,OF680,OF680,no
s038,wgs,OF705,OF705,no
s039,wgs,GB6,GB6,no
s040,wgs,OF125,OF125,no
s041,wgs,AE5,AE5,no
s042,wgs,GB8,GB8,no
s043,wgs,GB24,GB24,no
s044,wgs,GB7,GB7,no
s045,wgs,OF464,OF464,no
s046,wgs,OF700,OF700,no
s047,wgs,UK 36,UK 36,no
s048,wgs,OF263,OF263,no
s049,wgs,OF416,OF416,no
s050,wgs,OF126,OF126,no
s051,wgs,OF649,OF649,no
s052,wgs,OF687,OF687,no
s053,wgs,OF2,OF2,no
s054,wgs,1-OF-4,1-OF-4,no
s055,wgs,OF608,OF693,no
s056,wgs,OF354,OF354,no
s057,wgs,OF76,OF76_wgs_1,yes
s058,wgs,OF3,OF3,no
